Id,TotalIntensity,AverageIntensity,Date,Time
1503960366,0,0.0,2016-03-12,00:00:00
1503960366,0,0.0,2016-03-12,01:00:00
1503960366,0,0.0,2016-03-12,02:00:00
1503960366,0,0.0,2016-03-12,03:00:00
1503960366,0,0.0,2016-03-12,04:00:00
1503960366,0,0.0,2016-03-12,05:00:00
1503960366,0,0.0,2016-03-12,06:00:00
1503960366,0,0.0,2016-03-12,07:00:00
1503960366,0,0.0,2016-03-12,08:00:00
1503960366,1,0.017,2016-03-12,09:00:00
1503960366,26,0.433,2016-03-12,10:00:00
1503960366,49,0.817,2016-03-12,11:00:00
1503960366,47,0.783,2016-03-12,12:00:00
1503960366,20,0.333,2016-03-12,13:00:00
1503960366,121,2.017,2016-03-12,14:00:00
1503960366,129,2.15,2016-03-12,15:00:00
1503960366,42,0.7,2016-03-12,16:00:00
1503960366,20,0.333,2016-03-12,17:00:00
1503960366,2,0.033,2016-03-12,18:00:00
1503960366,30,0.5,2016-03-12,19:00:00
1503960366,4,0.067,2016-03-12,20:00:00
1503960366,29,0.483,2016-03-12,21:00:00
1503960366,41,0.683,2016-03-12,22:00:00
1503960366,35,0.583,2016-03-12,23:00:00
1503960366,3,0.05,2016-03-13,00:00:00
1503960366,0,0.0,2016-03-13,01:00:00
1503960366,1,0.017,2016-03-13,02:00:00
1503960366,0,0.0,2016-03-13,03:00:00
1503960366,0,0.0,2016-03-13,04:00:00
1503960366,0,0.0,2016-03-13,05:00:00
1503960366,0,0.0,2016-03-13,06:00:00
1503960366,0,0.0,2016-03-13,07:00:00
1503960366,1,0.017,2016-03-13,08:00:00
1503960366,5,0.083,2016-03-13,09:00:00
1503960366,85,1.417,2016-03-13,10:00:00
1503960366,130,2.167,2016-03-13,11:00:00
1503960366,3,0.05,2016-03-13,12:00:00
1503960366,9,0.15,2016-03-13,13:00:00
1503960366,3,0.05,2016-03-13,14:00:00
1503960366,23,0.383,2016-03-13,15:00:00
1503960366,25,0.417,2016-03-13,16:00:00
1503960366,5,0.083,2016-03-13,17:00:00
1503960366,110,1.833,2016-03-13,18:00:00
1503960366,57,0.95,2016-03-13,19:00:00
1503960366,25,0.417,2016-03-13,20:00:00
1503960366,9,0.15,2016-03-13,21:00:00
1503960366,17,0.283,2016-03-13,22:00:00
1503960366,46,0.767,2016-03-13,23:00:00
1503960366,4,0.067,2016-03-14,00:00:00
1503960366,3,0.05,2016-03-14,01:00:00
1503960366,0,0.0,2016-03-14,02:00:00
1503960366,0,0.0,2016-03-14,03:00:00
1503960366,0,0.0,2016-03-14,04:00:00
1503960366,0,0.0,2016-03-14,05:00:00
1503960366,0,0.0,2016-03-14,06:00:00
1503960366,3,0.05,2016-03-14,07:00:00
